Place;FirstName;LastName;Car Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId;Track;Place,FirstName,LastName,Class,Car Number,Car,Car Model,Laps,Best S1,Best S2,Best S3,Best lap,Best lap (ms),Ideal Best lap,Total Race Time,Lap Date,SteamId
0.0;Nick;Efdee;Pro;23.0;Ferrari 296 GT3;32.0;42.0;26.994;21.72;34.884;01:23.667;83667.0;01:23.598;58:34.014;2025-06-22;M2533274876472342;Brands Hatch;
0.0;Zoltán;Keszeli;Unknown;25.0;McLaren 720S GT3 Evo;35.0;42.0;26.877;21.547;34.947;01:23.525;83525.0;01:23.371;58:28.050;2025-06-22;M2535441603635242;Brands Hatch;
0.0;Toby;Cirel;Am/reserve;33.0;BMW M4 GT3 2022;26.0;42.0;26.945;21.585;35.042;01:23.715;83715.0;01:23.572;58:36.030;2025-06-22;M2535459005860319;Brands Hatch;
0.0;Linden;Hill;Silver;16.0;Bentley Continental GT3 2018;8.0;42.0;26.982;21.675;34.957;01:23.662;83662.0;01:23.614;58:33.804;2025-06-22;M2533274805889819;Brands Hatch;
0.0;Andrew;Mcvittie;Pro;116.0;Aston Martin Vantage V8 2019;20.0;42.0;27.215;21.68;34.862;01:24.040;84040.0;01:23.757;58:49.680;2025-06-22;M2533274896948119;Brands Hatch;
0.0;Benjamin;Matthew;Unknown;42.0;Ferrari 296 GT3;32.0;42.0;26.898;21.726;34.833;01:23.553;83553.0;01:23.457;58:29.226;2025-06-22;M2535456990131789;Brands Hatch;
0.0;Ben;Jones;Pro;80.0;BMW M4 GT3 2022;26.0;42.0;27.277;21.732;35.26;01:24.315;84315.0;01:24.269;59:01.230;2025-06-22;M2562092466593675;Brands Hatch;
0.0;Brian;Slater;Pro;20.0;Ford Mustang GT3;36.0;42.0;27.183;21.576;35.229;01:24.192;84192.0;01:23.988;58:56.064;2025-06-22;M2533274804593068;Brands Hatch;
0.0;Zack;Gross;Am/reserve;992.0;Porsche 992 GT3 R;34.0;42.0;26.925;21.582;35.109;01:23.703;83703.0;01:23.616;58:35.526;2025-06-22;M2535430534227760;Brands Hatch;
0.0;Sean;Briggs;Pro;88.0;Mercedes AMG GT3 2020;25.0;42.0;27.177;21.72;35.052;01:24.445;84445.0;01:23.949;59:06.690;2025-06-22;M2535426324983035;Brands Hatch;
0.0;Martijn;van Maanen;Silver;148.0;BMW M4 GT3 2022;26.0;42.0;27.142;21.637;35.1;01:24.365;84365.0;01:23.879;59:03.330;2025-06-22;M2535439618096780;Brands Hatch;
0.0;Richard;Huxley;Am/reserve;89.0;Ferrari 296 GT3;32.0;42.0;27.192;21.714;35.52;01:24.939;84939.0;01:24.426;59:27.438;2025-06-22;M2535454029768367;Brands Hatch;
0.0;Mark;Browning;Pro;55.0;Ferrari 296 GT3;32.0;42.0;27.307;21.71;35.275;01:24.615;84615.0;01:24.292;59:13.830;2025-06-22;M2533274796566438;Brands Hatch;
0.0;Dustin;Hatcher;Am/reserve;777.0;Ferrari 296 GT3;32.0;42.0;27.207;21.729;35.157;01:24.150;84150.0;01:24.093;58:54.300;2025-06-22;M2533274853814129;Brands Hatch;
0.0;Graham;Kennedy;Pro;11.0;McLaren 720S GT3 Evo;35.0;42.0;27.452;21.79;35.29;01:24.792;84792.0;01:24.532;59:21.264;2025-06-22;M2533274817811996;Brands Hatch;
0.0;Mark;Stapely;Silver;142.0;McLaren 720S GT3 Evo;35.0;42.0;27.385;21.697;35.262;01:24.607;84607.0;01:24.344;59:13.494;2025-06-22;M2533274804293173;Brands Hatch;
0.0;Jesper;Beiboer;Am/reserve;15.0;Ferrari 296 GT3;32.0;42.0;27.156;21.834;35.373;01:24.555;84555.0;01:24.363;59:11.310;2025-06-22;M2535465743812802;Brands Hatch;
0.0;John;Guise;Pro;10.0;Mercedes AMG GT3 2020;25.0;41.0;27.357;21.72;35.301;01:24.519;84519.0;01:24.378;57:45.279;2025-06-22;M2533274803882798;Brands Hatch;
0.0;;BoA Basso;Silver;40.0;BMW M4 GT3 2022;26.0;41.0;27.33;21.942;35.5;01:25.117;85117.0;01:24.772;58:09.797;2025-06-22;M2533274809536861;Brands Hatch;
0.0;Rey;Sabio Jr;Silver;144.0;Ferrari 296 GT3;32.0;41.0;27.321;21.921;35.808;01:25.344;85344.0;01:25.050;58:19.104;2025-06-22;M2535464171877570;Brands Hatch;
0.0;Adam;Lovell;Am/reserve;260.0;Ford Mustang GT3;36.0;41.0;27.489;21.945;35.646;01:25.527;85527.0;01:25.080;58:26.607;2025-06-22;M2535468859834853;Brands Hatch;
