LastName;Participation;TrackRecords;KingBonus;TotalPoints;SteamId;Rank
Jones;150;34;0;184;M2562092466593675;1
Efdee;150;33;0;183;M2533274876472342;2
Cirel;140;37;1;178;M2535459005860319;3
Sabio Jr;150;20;0;170;M2535464171877570;4
Huxley;150;11;0;161;M2535454029768367;5
Matthew;140;19;0;159;M2535456990131789;6
Lovell;150;4;0;154;M2535468859834853;7
Briggs;140;6;0;146;M2535426324983035;8
Guise;120;2;0;122;M2533274803882798;9
Hill;80;23;0;103;M2533274805889819;10
Roche;100;1;0;101;M2535428335198107;11
Keszeli;80;21;0;101;M2535441603635242;12
Hatcher;90;8;0;98;M2533274853814129;13
Stapely;80;15;0;95;M2533274804293173;14
Gross;70;15;0;85;M2535430534227760;15
Lane;70;15;0;85;M2535440311354763;16
Beiboer;80;3;0;83;M2535465743812802;17
Mcvittie;70;12;0;82;M2533274896948119;18
T1GZ81Honda;80;0;0;80;M2535421862963748;19
Barfield;80;0;0;80;P6555717445734582767;20
Briggs;70;1;0;71;M2533274963284096;21
Kennedy;70;0;0;70;M2533274817811996;22
Sexton;70;0;0;70;M2533274809212122;23
TAAT GUNA;60;9;0;69;M2533274817407265;24
Tos F;60;7;0;67;M2533274825104371;25
Illidge;50;6;0;56;M2535428245246604;26
Slater;50;2;0;52;M2533274804593068;27
Keen;40;10;0;50;M2533274934545075;28
Lodge;40;10;0;50;M2535460166046909;29
Browning;50;0;0;50;M2533274796566438;30
BoA Basso;40;3;0;43;M2533274809536861;31
CT08 #4634;30;2;0;32;M2535422371678774;32
MattChow69;30;0;0;30;M2535457981610431;33
GXL Hallam04;30;0;0;30;M2535429463915836;34
van Maanen;20;5;0;25;M2535439618096780;35
Verzi;20;1;0;21;M2535415068381608;36
Garcia;20;1;0;21;M2533274823895089;37
ryanpatrickw;20;1;0;21;M2535412775133805;38
Richmond;10;2;0;12;M2535463400577494;39
Barkowski;10;1;0;11;P714091755448266866;40
BoA Freaky;10;1;0;11;M2535459396515943;41
AMS_Ysbrand;10;1;0;11;P8128973203454498506;42
Amaral;10;0;0;10;M2535471399818041;43
draco#4301;10;0;0;10;M2535417491686551;44
FebrePT;10;0;0;10;M2535432740391477;45
Navarro;10;0;0;10;M2535450702745500;46
Cook;10;0;0;10;M2533274857411224;47
Aarns;10;0;0;10;M2533274851017524;48
Deaddropc#9825;10;0;0;10;M2535408498331170;49
Pedro;10;0;0;10;M2535407791780515;50
Bromhead;10;0;0;10;M2535468358420160;51
ogsl;10;0;0;10;M2533274798740952;52
HarryPalmerr;10;0;0;10;P560856601992808603;53
TTVRIPIndigo;10;0;0;10;P8342114600090339060;54
AMS_Erik;10;0;0;10;P5893162401816038298;55
The_Duke_Fleed;10;0;0;10;P4614911871784324097;56
