Track;Driver;Best lap (ms);Place;Avg Lap (formatted);Pace Rank;Position Rank;Overall Score;Overall Rank
barcelona;A Skunky;103846.875;1;1:43.847;1.0;1.0;1.0;1.0
barcelona;Andre Lico;104139.66666666667;1;1:44.140;2.0;1.0;1.5;2.0
barcelona;B Szpak#5797;104518.22222222222;1;1:44.518;7.0;1.0;4.0;3.0
barcelona;B Jones;104675.14285714286;1;1:44.675;12.0;1.0;6.5;4.0
barcelona;F FGTR TRIGGA;105317.0;1;1:45.317;16.0;1.0;8.5;5.0
barcelona;Adrian Adrian Ronda#661;105675.0;1;1:45.675;22.0;1.0;11.5;6.0
barcelona;Sean Briggs;105855.57142857143;1;1:45.856;24.0;1.0;12.5;7.0
barcelona;B Dzieciol;104243.16666666667;2;1:44.243;3.0;23.0;13.0;8.0
barcelona;David WekFest81;106042.5;1;1:46.042;25.0;1.0;13.0;8.0
barcelona;R YHWH144000;106125.75;1;1:46.126;26.0;1.0;13.5;10.0
barcelona;J BoA Basso;104447.0;2;1:44.447;6.0;23.0;14.5;11.0
barcelona;Jay Ruger;104364.0;3;1:44.364;4.0;27.0;15.5;12.0
barcelona;J FebrexPT;106619.375;1;1:46.619;31.0;1.0;16.0;13.0
barcelona;M Grunert;104422.0;3;1:44.422;5.0;27.0;16.0;13.0
barcelona;JON J0N G10;106626.6;1;1:46.627;32.0;1.0;16.5;15.0
barcelona;L Hill;104674.42857142857;2;1:44.674;11.0;23.0;17.0;16.0
barcelona;Jay JAY RUGE;106908.8;1;1:46.909;34.0;1.0;17.5;17.0
barcelona;Ant Mcvittie;104666.14285714286;3;1:44.666;9.0;27.0;18.0;18.0
barcelona;B BadBen80;107224.0;1;1:47.224;35.0;1.0;18.0;18.0
barcelona;R Garcia;104669.0;3;1:44.669;10.0;27.0;18.5;20.0
barcelona;J bigXjimmXe73;107490.0;1;1:47.490;37.0;1.0;19.0;21.0
barcelona;George Dodood;107866.6;1;1:47.867;38.0;1.0;19.5;22.0
barcelona;M2535453432622651;108025.0;1;1:48.025;39.0;1.0;20.0;23.0
barcelona;Brian Slater;104588.25;6;1:44.588;8.0;33.0;20.5;24.0
barcelona;L Dr Flexi Jerkov;108068.0;1;1:48.068;40.0;1.0;20.5;24.0
barcelona;Sean BoAPrawnStar;108301.2;1;1:48.301;41.0;1.0;21.0;26.0
barcelona;David Mojsa;105638.8;2;1:45.639;21.0;23.0;22.0;27.0
barcelona;J Caceres;104707.33333333333;4;1:44.707;13.0;31.0;22.0;27.0
