Place;FirstName;LastName;Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId;Conditions
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;5;37.020;41.992;38.420;01:57.432;117432;01:57.432;09:47.160;2025-05-12;M2533274805889819;Dry
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;8;37.725;42.717;39.768;02:00.687;120687;02:00.210;16:05.496;2025-05-12;M2535464171877570;Dry
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;16;37.037;41.725;38.240;01:57.050;117050;01:57.002;31:12.800;2025-05-12;M2533274805889819;Dry
0;;AMS DR1VE;Am/reserve;33;Ginetta G55 GT4;56;16;37.185;41.532;38.167;01:57.132;117132;01:56.884;31:14.112;2025-05-12;M2535459005860319;Dry
0;;Imagine Sphax;Pro;23;Ginetta G55 GT4;56;12;37.188;41.742;38.235;01:57.165;117165;01:57.165;23:25.980;2025-05-12;M2533274876472342;Dry
0;;dmoney69812;Am/reserve;15;Ginetta G55 GT4;56;10;37.857;42.393;38.991;01:59.433;119433;01:59.241;19:54.330;2025-05-12;M2533274853814129;Dry
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;12;37.980;42.228;39.138;02:00.021;120021;01:59.346;24:00.252;2025-05-12;M2535454029768367;Dry
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;4;36.872;41.435;37.832;01:56.150;116150;01:56.139;07:44.600;2025-05-12;M2533274805889819;Dry
0;;AMS DR1VE;Am/reserve;33;Ginetta G55 GT4;56;7;36.892;41.220;37.950;01:56.255;116255;01:56.062;13:33.785;2025-05-12;M2535459005860319;Dry
0;;BadBen80;Pro;80;Ginetta G55 GT4;56;4;37.322;41.692;38.630;01:57.645;117645;01:57.644;07:50.580;2025-05-12;M2562092466593675;Dry
0;;dmoney69812;Am/reserve;15;Ginetta G55 GT4;56;6;37.713;42.609;39.396;01:59.718;119718;01:59.718;11:58.308;2025-05-12;M2533274853814129;Dry
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-12;M2535454029768367;Dry
0;;Imagine Sphax;Pro;23;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-12;M2533274876472342;Dry
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;4;36.937;41.440;38.270;01:56.647;116647;01:56.647;07:46.588;2025-05-12;M2533274805889819;Dry
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-12;M2535454029768367;Dry
0;;Imagine Sphax;Pro;23;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-12;M2533274876472342;Dry
0;;AMS DR1VE;Am/reserve;33;Ginetta G55 GT4;56;5;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;178956:58.235;2025-05-12;M2535459005860319;Dry
0;;dmoney69812;Am/reserve;15;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-12;M2533274853814129;Dry
0;;BadBen80;Pro;80;Ginetta G55 GT4;56;4;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;143165:34.588;2025-05-12;M2562092466593675;Dry
0;;T1GZ81Honda;Am/reserve;23;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-13;M2535421862963748;Dry
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;12;37.027;41.370;37.950;01:56.542;116542;01:56.347;23:18.504;2025-05-13;M2533274805889819;Dry
0;;Thebadden#6350;Am/reserve;261;Ginetta G55 GT4;56;13;37.527;42.150;39.507;01:59.382;119382;01:59.184;25:51.966;2025-05-13;M2535468859834853;Dry
0;;T1GZ81Honda;Am/reserve;23;Ginetta G55 GT4;56;16;37.422;42.393;39.231;01:59.643;119643;01:59.046;31:54.288;2025-05-13;M2535421862963748;Dry
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-13;M2535464171877570;Dry
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;15;36.915;41.637;38.062;01:56.617;116617;01:56.614;29:09.255;2025-05-13;M2533274805889819;Dry
0;;Imagine Sphax;Pro;23;Ginetta G55 GT4;56;11;37.401;41.697;38.220;01:57.318;117318;01:57.318;21:30.498;2025-05-13;M2533274876472342;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;16;37.368;42.108;38.562;01:58.206;118206;01:58.038;31:31.296;2025-05-13;M2533274963284096;Dry
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;12;37.629;42.162;39.072;01:59.235;119235;01:58.863;23:50.820;2025-05-13;M2535454029768367;Dry
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;16;37.422;42.462;38.910;01:59.412;119412;01:58.794;31:50.592;2025-05-13;M2535464171877570;Dry
0;;ivon82;Unknown;1;Ginetta G55 GT4;56;17;40.092;44.421;41.760;02:07.962;127962;02:06.273;36:15.354;2025-05-13;M2535429734672499;Dry
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;6;36.832;41.455;38.002;01:56.345;116345;01:56.289;11:38.070;2025-05-13;M2533274805889819;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;6;37.344;42.078;38.751;01:58.173;118173;01:58.173;11:49.038;2025-05-13;M2533274963284096;Dry
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;7;37.269;42.291;39.009;01:58.932;118932;01:58.569;13:52.524;2025-05-13;M2535464171877570;Dry
0;;ivon82;Unknown;1;Ginetta G55 GT4;56;6;39.960;44.610;41.136;02:06.297;126297;02:05.706;12:37.782;2025-05-13;M2535429734672499;Dry
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-13;M2535454029768367;Dry
0;;Imagine Sphax;Pro;23;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-13;M2533274876472342;Dry
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-13;M2535454029768367;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-13;M2533274963284096;Dry
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-13;M2533274805889819;Dry
0;;ivon82;Unknown;1;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-13;M2535429734672499;Dry
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-13;M2535464171877570;Dry
0;;Imagine Sphax;Pro;23;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-13;M2533274876472342;Dry
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-13;M2533274805889819;Dry
0;;ivon82;Unknown;1;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-13;M2535429734672499;Dry
0;;dmoney69812;Am/reserve;15;Ginetta G55 GT4;56;2;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;71582:47.294;2025-05-13;M2533274853814129;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-14;M2533274963284096;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;20;37.347;41.712;38.583;01:57.900;117900;01:57.642;39:18.000;2025-05-14;M2533274963284096;Dry
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;4;37.713;42.255;39.564;01:59.829;119829;01:59.532;07:59.316;2025-05-14;M2535464171877570;Dry
0;;CT08 #4634;Am/reserve;8;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-14;M2535422371678774;Dry
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;4;37.692;42.630;39.048;01:59.370;119370;01:59.370;07:57.480;2025-05-14;M2535464171877570;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-14;M2533274963284096;Dry
0;;CT08 #4634;Am/reserve;8;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-14;M2535422371678774;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-14;M2533274963284096;Dry
0;;CT08 #4634;Am/reserve;8;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-14;M2535422371678774;Dry
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-14;M2535464171877570;Dry
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;23;36.917;41.570;38.025;01:56.645;116645;01:56.512;44:42.835;2025-05-14;M2533274805889819;Dry
0;;BoAPrawnStar;Pro;88;Ginetta G55 GT4;56;14;37.337;41.917;38.342;01:57.597;117597;01:57.596;27:26.358;2025-05-14;M2535426324983035;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;13;37.152;41.919;38.568;01:57.753;117753;01:57.639;25:30.789;2025-05-14;M2533274963284096;Dry
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;14;37.377;42.114;39.048;01:58.698;118698;01:58.539;27:41.772;2025-05-14;M2535464171877570;Dry
0;;draco#4301;Unknown;425;Ginetta G55 GT4;56;6;38.586;43.317;40.410;02:02.313;122313;02:02.313;12:13.878;2025-05-14;M2535417491686551;Dry
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-14;M2533274805889819;Dry
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-14;M2535464171877570;Dry
0;;BoAPrawnStar;Pro;88;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-14;M2535426324983035;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-14;M2533274963284096;Dry
0;;draco#4301;Unknown;425;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-14;M2535417491686551;Dry
0;;AMS DR1VE;Am/reserve;33;Ginetta G55 GT4;56;9;36.880;41.195;37.697;01:55.840;115840;01:55.772;17:22.560;2025-05-14;M2535459005860319;Dry
0;;bmatthew717;Unknown;42;Ginetta G55 GT4;56;12;36.924;41.409;37.812;01:56.289;116289;01:56.145;23:15.468;2025-05-14;M2535456990131789;Dry
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;13;36.902;41.400;37.900;01:56.392;116392;01:56.202;25:13.096;2025-05-14;M2533274805889819;Dry
0;;EQR Apex;Unknown;53;Ginetta G55 GT4;56;8;36.927;41.313;37.878;01:56.427;116427;01:56.118;15:31.416;2025-05-14;M2535440311354763;Dry
0;;BadBen80;Pro;80;Ginetta G55 GT4;56;10;36.907;41.470;38.062;01:56.460;116460;01:56.439;19:24.600;2025-05-14;M2562092466593675;Dry
0;;Imagine Sphax;Pro;24;Ginetta G55 GT4;56;9;37.146;41.694;38.103;01:57.201;117201;01:56.943;17:34.809;2025-05-14;M2533274876472342;Dry
0;;Tos F;Unknown;748;Ginetta G55 GT4;56;7;37.270;41.747;38.120;01:57.685;117685;01:57.137;13:43.795;2025-05-14;M2533274825104371;Dry
0;;dmoney69812;Am/reserve;15;Ginetta G55 GT4;56;11;36.936;41.826;38.733;01:57.873;117873;01:57.495;21:36.603;2025-05-14;M2533274853814129;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;5;37.428;41.967;38.493;01:58.023;118023;01:57.888;09:50.115;2025-05-14;M2533274963284096;Dry
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;11;37.491;42.006;38.361;01:58.194;118194;01:57.858;21:40.134;2025-05-14;M2535454029768367;Dry
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;5;37.398;42.243;38.793;01:58.491;118491;01:58.434;09:52.455;2025-05-14;M2535464171877570;Dry
0;;Thebadden#6350;Am/reserve;260;Ginetta G55 GT4;56;10;37.659;42.204;39.453;01:59.388;119388;01:59.316;19:53.880;2025-05-14;M2535468859834853;Dry
0;;T1GZ81Honda;Am/reserve;23;Ginetta G55 GT4;56;10;37.701;42.678;39.087;01:59.763;119763;01:59.466;19:57.630;2025-05-14;M2535421862963748;Dry
0;;draco#4301;Unknown;425;Ginetta G55 GT4;56;9;37.863;42.960;39.255;02:00.078;120078;02:00.078;18:00.702;2025-05-14;M2535417491686551;Dry
0;;BoAPrawnStar;Pro;88;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-14;M2535426324983035;Dry
0;;EQR Apex;Unknown;53;Ginetta G55 GT4;56;7;36.762;41.292;37.626;01:55.800;115800;01:55.680;13:30.600;2025-05-14;M2535440311354763;Dry
0;;AMS DR1VE;Am/reserve;33;Ginetta G55 GT4;56;7;36.700;41.257;37.592;01:55.912;115912;01:55.549;13:31.384;2025-05-14;M2535459005860319;Dry
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;7;36.847;41.357;37.832;01:56.055;116055;01:56.036;13:32.385;2025-05-14;M2533274805889819;Dry
0;;bmatthew717;Unknown;42;Ginetta G55 GT4;56;2;36.891;41.247;37.950;01:56.088;116088;01:56.088;03:52.176;2025-05-14;M2535456990131789;Dry
0;;BadBen80;Pro;80;Ginetta G55 GT4;56;7;36.840;41.300;37.937;01:56.212;116212;01:56.077;13:33.484;2025-05-14;M2562092466593675;Dry
0;;Imagine Sphax;Pro;24;Ginetta G55 GT4;56;6;37.101;41.658;38.034;01:56.793;116793;01:56.793;11:40.758;2025-05-14;M2533274876472342;Dry
0;;Tos F;Unknown;747;Ginetta G55 GT4;56;5;36.867;41.512;37.950;01:56.795;116795;01:56.329;09:43.975;2025-05-14;M2533274825104371;Dry
0;;dmoney69812;Am/reserve;15;Ginetta G55 GT4;56;6;36.900;41.532;38.421;01:57.462;117462;01:56.853;11:44.772;2025-05-14;M2533274853814129;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;5;37.086;42.003;38.370;01:57.528;117528;01:57.459;09:47.640;2025-05-14;M2533274963284096;Dry
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;6;37.446;41.901;38.328;01:57.933;117933;01:57.675;11:47.598;2025-05-14;M2535454029768367;Dry
0;;BoAPrawnStar;Pro;88;Ginetta G55 GT4;56;3;37.462;41.807;38.770;01:58.040;118040;01:58.039;05:54.120;2025-05-14;M2535426324983035;Dry
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;7;37.182;41.823;38.691;01:58.062;118062;01:57.696;13:46.434;2025-05-14;M2535464171877570;Dry
0;;T1GZ81Honda;Am/reserve;23;Ginetta G55 GT4;56;7;37.479;42.201;38.739;01:58.419;118419;01:58.419;13:48.933;2025-05-14;M2535421862963748;Dry
0;;Thebadden#6350;Am/reserve;260;Ginetta G55 GT4;56;6;37.356;42.543;39.231;01:59.334;119334;01:59.130;11:56.004;2025-05-14;M2535468859834853;Dry
0;;draco#4301;Unknown;425;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-14;M2535417491686551;Dry
0;;J0N G10;Pro;10;Ginetta G55 GT4;56;3;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;107374:10.941;2025-05-14;M2533274803882798;Dry
0;;AMS DR1VE;Am/reserve;33;Ginetta G55 GT4;56;21;36.750;41.237;37.797;01:55.917;115917;01:55.784;40:34.257;2025-05-14;M2535459005860319;Dry
0;;BadBen80;Pro;80;Ginetta G55 GT4;56;21;36.895;41.542;37.965;01:56.502;116502;01:56.402;40:46.542;2025-05-14;M2562092466593675;Dry
