Place;FirstName;LastName;Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId;Conditions
0;;bmatthew717;Unknown;42;McLaren 720S GT3 Evo;35;3;35.046;37.974;35.283;01:48.303;108303;01:48.303;05:24.909;2025-08-06;M2535456990131789;Dry
0;;dmoney69812;Am/reserve;65;Ford Mustang GT3;36;1;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;35791:23.647;2025-08-06;M2533274853814129;Dry
0;;BoAPrawnStar;Pro;100;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-09-07;M2535426324983035;Dry
0;;Imagine Sphax;Pro;23;Ferrari 296 GT3;32;4;21.711;32.526;47.514;01:41.751;101751;01:41.751;06:47.004;2025-09-07;M2533274876472342;Dry
0;;B00STG00SE;Am/reserve;747;Ferrari 296 GT3;32;4;22.140;33.140;47.900;01:43.180;103180;01:43.180;06:52.720;2025-09-07;M2535463400577494;Dry
0;;BoA KoolAid;Pro;20;Ford Mustang GT3;36;2;22.188;33.114;48.102;01:43.413;103413;01:43.404;03:26.826;2025-09-07;M2533274804593068;Dry
0;;Racingrich#2732;Am/reserve;89;Ferrari 296 GT3;32;1;22.266;33.105;48.315;01:43.686;103686;01:43.686;01:43.686;2025-09-07;M2535454029768367;Dry
0;;Thebadden#6350;Am/reserve;260;Ford Mustang GT3;36;4;22.077;33.366;48.570;01:44.100;104100;01:44.013;06:56.400;2025-09-07;M2535468859834853;Dry
0;;BoA Diamond;Pro;4;Ferrari 296 GT3;32;1;22.338;33.474;48.888;01:44.700;104700;01:44.700;01:44.700;2025-09-07;M2533274963284096;Dry
0;;InocentPredator;Pro;720;McLaren 720S GT3 Evo;35;3;22.387;33.535;49.157;01:45.080;105080;01:45.079;05:15.240;2025-09-07;M2533274809212122;Dry
0;;BoAPrawnStar;Pro;100;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-09-07;M2535426324983035;Dry
0;;bmatthew717;Unknown;42;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-09-07;M2535456990131789;Dry
0;;T1GZ81Honda;Am/reserve;71;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-09-07;M2535421862963748;Dry
0;;bmatthew717;Unknown;42;Ferrari 296 GT3;32;4;21.618;32.373;47.208;01:41.301;101301;01:41.199;06:45.204;2025-09-07;M2535456990131789;Dry
0;;Imagine Sphax;Pro;23;Ferrari 296 GT3;32;4;21.687;32.457;47.334;01:41.478;101478;01:41.478;06:45.912;2025-09-07;M2533274876472342;Dry
0;;B00STG00SE;Am/reserve;747;Ferrari 296 GT3;32;4;21.960;32.662;47.672;01:42.295;102295;01:42.294;06:49.180;2025-09-07;M2535463400577494;Dry
0;;BoA KoolAid;Pro;20;Ford Mustang GT3;36;5;21.747;32.898;47.751;01:42.480;102480;01:42.396;08:32.400;2025-09-07;M2533274804593068;Dry
0;;Racingrich#2732;Am/reserve;89;Ferrari 296 GT3;32;5;21.897;32.562;47.769;01:42.513;102513;01:42.228;08:32.565;2025-09-07;M2535454029768367;Dry
0;;BoA Diamond;Pro;4;Ferrari 296 GT3;32;3;22.068;32.889;48.225;01:43.203;103203;01:43.182;05:09.609;2025-09-07;M2533274963284096;Dry
0;;Thebadden#6350;Am/reserve;260;Ford Mustang GT3;36;5;22.056;33.093;48.252;01:43.401;103401;01:43.401;08:37.005;2025-09-07;M2535468859834853;Dry
0;;InocentPredator;Pro;720;McLaren 720S GT3 Evo;35;5;22.095;33.052;48.295;01:43.442;103442;01:43.442;08:37.210;2025-09-07;M2533274809212122;Dry
0;;BoAPrawnStar;Pro;100;Ferrari 296 GT3;32;4;22.292;33.230;47.922;01:43.445;103445;01:43.444;06:53.780;2025-09-07;M2535426324983035;Dry
0;;T1GZ81Honda;Am/reserve;71;Ferrari 296 GT3;32;3;22.908;33.444;49.620;01:45.972;105972;01:45.972;05:17.916;2025-09-07;M2535421862963748;Dry
0;;bmatthew717;Unknown;42;Ferrari 296 GT3;32;12;21.639;32.274;47.193;01:41.337;101337;01:41.106;20:16.044;2025-09-07;M2535456990131789;Dry
0;;Imagine Sphax;Pro;23;Ferrari 296 GT3;32;12;21.705;32.442;47.340;01:41.670;101670;01:41.487;20:20.040;2025-09-07;M2533274876472342;Dry
0;;B00STG00SE;Am/reserve;747;Ferrari 296 GT3;32;12;21.935;32.450;47.655;01:42.290;102290;01:42.040;20:27.480;2025-09-07;M2535463400577494;Dry
0;;BoA KoolAid;Pro;20;Ford Mustang GT3;36;12;21.702;32.697;47.901;01:42.417;102417;01:42.300;20:29.004;2025-09-07;M2533274804593068;Dry
0;;Thebadden#6350;Am/reserve;260;Ford Mustang GT3;36;12;21.822;32.997;47.598;01:42.417;102417;01:42.417;20:29.004;2025-09-07;M2535468859834853;Dry
