Place;FirstName;LastName;Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId
0;;bmatthew717;Unknown;42;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-09-07;M2535456990131789
0;;zoli234#5551;Unknown;25;McLaren 720S GT3 Evo;35;11;31.100;40.165;30.107;01:41.542;101542;01:41.372;18:36.962;2025-09-08;M2535441603635242
0;;RightfulChip6;Unknown;42;Bentley Continental GT3 2018;8;5;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;178956:58.235;2025-09-09;M2533274976716913
0;;zoli234#5551;Unknown;25;McLaren 720S GT3 Evo;35;11;30.955;39.977;30.095;01:41.220;101220;01:41.027;18:33.420;2025-09-09;M2535441603635242
0;;Dr Flexi Jerkov;Silver;16;Bentley Continental GT3 2018;8;12;31.087;40.240;30.250;01:41.742;101742;01:41.577;20:20.904;2025-09-09;M2533274805889819
0;;zoli234#5551;Unknown;25;McLaren 720S GT3 Evo;35;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-09-09;M2535441603635242
0;;Dr Flexi Jerkov;Silver;16;Bentley Continental GT3 2018;8;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-09-09;M2533274805889819
0;;RightfulChip6;Unknown;42;Bentley Continental GT3 2018;8;12;31.137;40.476;30.297;01:42.159;102159;01:41.910;20:25.908;2025-09-09;M2533274976716913
0;;Hypotek_GBR-VRC;Unknown;18;BMW M4 GT3 2022;26;7;31.162;40.642;30.302;01:42.107;102107;01:42.106;11:54.749;2025-09-10;P6242924876318439157
0;;Dr Flexi Jerkov;Silver;16;Bentley Continental GT3 2018;8;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-09-10;M2533274805889819
0;;Dr Flexi Jerkov;Silver;16;Bentley Continental GT3 2018;8;6;31.197;40.565;30.207;01:42.122;102122;01:41.969;10:12.732;2025-09-10;M2533274805889819
0;;Dr Flexi Jerkov;Silver;17;Ford Mustang GT3;36;19;31.135;40.225;30.082;01:41.897;101897;01:41.442;32:16.043;2025-09-10;M2533274805889819
0;;BoA Diamond;Pro;4;Porsche 992 GT3 R;34;21;31.119;40.905;30.546;01:42.738;102738;01:42.570;35:57.498;2025-09-10;M2533274963284096
0;;Thebadden#6350;Am/reserve;260;Ford Mustang GT3;36;16;31.305;41.073;30.828;01:43.206;103206;01:43.206;27:31.296;2025-09-10;M2535468859834853
0;;Benjuda1019;Unknown;93;Ferrari 296 GT3;32;9;35.664;45.855;35.064;01:56.583;116583;01:56.583;17:29.247;2025-09-10;M2535419147509440
0;;BoA Diamond;Pro;4;Porsche 992 GT3 R;34;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-09-10;M2533274963284096
0;;Dr Flexi Jerkov;Silver;17;Ford Mustang GT3;36;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-09-10;M2533274805889819
0;;Benjuda1019;Unknown;93;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-09-10;M2535419147509440
0;;Thebadden#6350;Am/reserve;260;Ford Mustang GT3;36;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-09-10;M2535468859834853
0;;BadBen80;Pro;88;Ferrari 296 GT3;32;17;31.030;40.345;29.970;01:41.732;101732;01:41.345;28:49.444;2025-09-10;M2562092466593675
0;;Dr Flexi Jerkov;Silver;16;Ford Mustang GT3;36;24;30.952;40.355;30.167;01:41.927;101927;01:41.474;40:46.248;2025-09-10;M2533274805889819
0;;BoA Diamond;Pro;1;Ferrari 296 GT3;32;8;31.266;40.836;30.519;01:42.801;102801;01:42.621;13:42.408;2025-09-10;M2533274963284096
0;;Thebadden#6350;Am/reserve;261;Ferrari 296 GT3;32;9;31.173;41.193;30.651;01:43.743;103743;01:43.017;15:33.687;2025-09-10;M2535468859834853
0;;LCS Ginge;Am/reserve;69;Ferrari 296 GT3;32;6;31.668;41.214;31.068;01:44.394;104394;01:43.950;10:26.364;2025-09-10;M2535428335198107
0;;Benjuda1019;Unknown;93;Ferrari 296 GT3;32;13;34.443;44.826;34.362;01:53.631;113631;01:53.631;24:37.203;2025-09-10;M2535419147509440
0;;BadBen80;Pro;65;Ford Mustang GT3;36;5;30.790;40.242;29.920;01:41.045;101045;01:40.952;08:25.225;2025-09-10;M2562092466593675
0;;Dr Flexi Jerkov;Silver;16;Ford Mustang GT3;36;7;30.992;40.295;30.070;01:41.562;101562;01:41.357;11:50.934;2025-09-10;M2533274805889819
0;;LCS Ginge;Am/reserve;69;Ferrari 296 GT3;32;6;31.620;41.325;30.969;01:43.914;103914;01:43.914;10:23.484;2025-09-10;M2535428335198107
