Place;FirstName;LastName;Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId
0;;DR1VE#4787;Am/reserve;33;Ginetta G55 GT4;56;23;33.947;35.617;34.277;01:43.860;103860;01:43.841;39:48.780;2025-06-04;M2535459005860319
0;;BadBen80;Pro;80;Ginetta G55 GT4;56;23;34.095;35.735;34.425;01:44.345;104345;01:44.255;39:59.935;2025-06-04;M2562092466593675
0;;Imagine Sphax;Pro;23;Ginetta G55 GT4;56;23;34.125;35.820;34.680;01:44.757;104757;01:44.625;40:09.411;2025-06-04;M2533274876472342
0;;Y2004DTI;Am/reserve;550;Ginetta G55 GT4;56;23;34.035;35.610;34.515;01:44.310;104310;01:44.160;39:59.130;2025-06-04;M2535428245246604
0;;bmatthew717;Unknown;42;Ginetta G55 GT4;56;23;34.059;35.715;34.428;01:44.268;104268;01:44.202;39:58.164;2025-06-04;M2535456990131789
0;;Tos F;Unknown;747;Ginetta G55 GT4;56;23;34.142;35.842;34.602;01:44.912;104912;01:44.586;40:12.976;2025-06-04;M2533274825104371
0;;TAAT GUNA;Unknown;201;Ginetta G55 GT4;56;23;34.165;35.992;34.605;01:44.950;104950;01:44.762;40:13.850;2025-06-04;M2533274817407265
0;;CHEWBACCA 3110;Silver;7;Ginetta G55 GT4;56;23;34.152;35.997;34.655;01:45.415;105415;01:44.804;40:24.545;2025-06-04;M2533274934545075
0;;BoAPrawnStar;Pro;88;Ginetta G55 GT4;56;23;34.472;36.052;34.705;01:45.335;105335;01:45.229;40:22.705;2025-06-04;M2535426324983035
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;23;34.356;36.192;34.875;01:45.864;105864;01:45.423;40:34.872;2025-06-04;M2535454029768367
0;;Thebadden#6350;Am/reserve;260;Ginetta G55 GT4;56;23;34.551;36.168;34.860;01:46.074;106074;01:45.579;40:39.702;2025-06-04;M2535468859834853
0;;T1GZ81Honda;Am/reserve;24;Ginetta G55 GT4;56;22;34.887;36.558;34.998;01:46.743;106743;01:46.443;39:08.346;2025-06-04;M2535421862963748
0;;The_Duke_Fleed;Unknown;15;Ginetta G55 GT4;56;4;35.040;37.645;36.075;01:48.760;108760;01:48.760;07:15.040;2025-06-04;P4614911871784324097
0;;EQR Apex;Unknown;53;Ginetta G55 GT4;56;1;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;35791:23.647;2025-06-04;M2535440311354763
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-06-04;M2535464171877570
0;;J0N G10;Pro;10;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-06-04;M2533274803882798
