Place;FirstName;LastName;Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId;Conditions
0;;ChrisP63#3590;Unknown;800;BMW M4 GT3 2022;26;4;43.565;65.832;39.587;02:28.985;148985;02:28.984;09:55.940;2025-02-17;M2533274799901907;Wet
0;;ChrisP63#3590;Unknown;800;BMW M4 GT3 2022;26;3;44.882;68.105;40.827;02:34.207;154207;02:33.814;07:42.621;2025-02-17;M2533274799901907;Wet
0;;ChrisP63#3590;Unknown;800;BMW M4 GT3 2022;26;5;45.847;70.507;42.390;02:38.997;158997;02:38.744;13:14.985;2025-02-17;M2533274799901907;Wet
0;;DeeZleUK;Unknown;801;BMW M4 GT3 2022;26;6;42.905;63.310;38.077;02:24.322;144322;02:24.292;14:25.932;2025-02-18;M2553380145898144;Dry
0;;Dr Flexi Jerkov;Silver;16;McLaren 720S GT3 Evo;35;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-02-18;M2533274805889819;Dry
0;;Dr Flexi Jerkov;Silver;16;McLaren 720S GT3 Evo;35;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-02-18;M2533274805889819;Wet
0;;WekFest81;Am/reserve;44;Porsche 992 GT3 R;34;6;41.232;62.572;37.240;02:21.200;141200;02:21.044;14:07.200;2025-02-18;M2535450693182151;Dry
0;;ChrisP63#3590;Unknown;800;BMW M4 GT3 2022;26;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-02-18;M2533274799901907;Dry
0;;Dr Flexi Jerkov;Silver;16;McLaren 720S GT3 Evo;35;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-02-18;M2533274805889819;Dry
0;;Mint Memes;Unknown;66;McLaren 720S GT3 Evo;35;2;42.837;65.202;39.340;02:27.380;147380;02:27.379;04:54.760;2025-02-18;M2535406528932198;Wet
0;;SCRAPPER 2000;Pro;807;Ferrari 296 GT3;32;4;41.045;62.455;37.135;02:20.860;140860;02:20.635;09:23.440;2025-02-19;M2533274796566438;Dry
0;;GameChanger005;Unknown;666;McLaren 720S GT3 Evo;35;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-02-19;M2535425231317196;Dry
0;;GameChanger005;Unknown;666;McLaren 720S GT3 Evo;35;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-02-19;M2535425231317196;Dry
0;;GameChanger005;Unknown;666;McLaren 720S GT3 Evo;35;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-02-19;M2535425231317196;Wet
0;;GameChanger005;Unknown;666;McLaren 720S GT3 Evo;35;11;40.985;61.155;36.970;02:19.290;139290;02:19.110;25:32.190;2025-02-19;M2535425231317196;Wet
0;;GameChanger005;Unknown;666;McLaren 720S GT3 Evo;35;4;40.825;61.077;36.717;02:18.670;138670;02:18.619;09:14.680;2025-02-19;M2535425231317196;Dry
0;;Mint Memes;Unknown;66;McLaren 720S GT3 Evo;35;9;40.822;61.155;36.587;02:18.692;138692;02:18.564;20:48.228;2025-02-19;M2535406528932198;Dry
0;;GameChanger005;Unknown;666;McLaren 720S GT3 Evo;35;4;40.935;60.937;36.705;02:18.732;138732;02:18.577;09:14.928;2025-02-19;M2535425231317196;Dry
0;;BaysideSnake1;Am/reserve;888;Porsche 992 GT3 R;34;6;41.572;63.105;37.037;02:22.240;142240;02:21.714;14:13.440;2025-02-19;M2533274968067271;Dry
0;;ChrisP63#3590;Unknown;800;BMW M4 GT3 2022;26;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-02-20;M2533274799901907;Dry
0;;ChrisP63#3590;Unknown;800;BMW M4 GT3 2022;26;5;44.530;68.515;40.607;02:33.735;153735;02:33.652;12:48.675;2025-02-20;M2533274799901907;Wet
0;;KinGKer#5147;Unknown;112;McLaren 720S GT3 Evo;35;9;41.725;63.170;37.485;02:22.380;142380;02:22.380;21:21.420;2025-02-20;M2533275015522870;Dry
0;;BaysideSnake1;Am/reserve;888;Porsche 992 GT3 R;34;13;41.935;64.695;37.780;02:24.410;144410;02:24.410;31:17.330;2025-02-20;M2533274968067271;Dry
0;;BRC MotoKris;Unknown;111;McLaren 720S GT3 Evo;35;12;42.350;63.730;38.550;02:24.630;144630;02:24.630;28:55.560;2025-02-20;M2535470063557459;Dry
0;;ChrisP63#3590;Unknown;800;BMW M4 GT3 2022;26;3;42.745;65.205;38.525;02:26.475;146475;02:26.475;07:19.425;2025-02-20;M2533274799901907;Dry
0;;stardogbarklar;Unknown;741;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-02-21;M2535446743928230;Dry
0;;KinGKer#5147;Unknown;112;McLaren 720S GT3 Evo;35;3;41.297;63.072;37.097;02:21.660;141660;02:21.466;07:04.980;2025-02-21;M2533275015522870;Dry
0;;WekFest81;Am/reserve;44;Porsche 992 GT3 R;34;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-02-21;M2535450693182151;Dry
0;;Adzinski82;Unknown;30;Honda NSX GT3;17;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-02-21;M2533274802804598;Dry
0;;Adzinski82;Unknown;75;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-02-21;M2533274802804598;Dry
0;;Adzinski82;Unknown;21;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-02-21;M2533274802804598;Wet
0;;Adzinski82;Unknown;807;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-02-21;M2533274802804598;Dry
0;;Adzinski82;Unknown;807;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-02-21;M2533274802804598;Dry
0;;BoA Diamond;Pro;1;Ferrari 296 GT3;32;3;42.039;64.152;37.260;02:23.451;143451;02:23.451;07:10.353;2025-02-22;M2533274963284096;Dry
0;;GameChanger005;Unknown;58;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-02-22;M2535425231317196;Wet
0;;Imagine Sphax;Pro;23;Ferrari 296 GT3;32;2;40.902;60.870;36.825;02:18.684;138684;02:18.597;04:37.368;2025-02-22;M2533274876472342;Dry
0;;GameChanger005;Unknown;58;Ferrari 296 GT3;32;21;40.917;61.080;36.612;02:18.732;138732;02:18.609;48:33.372;2025-02-22;M2535425231317196;Dry
0;;ANM VIRZIO;Unknown;6;Ferrari 296 GT3;32;5;41.016;60.951;36.717;02:18.957;138957;02:18.684;11:34.785;2025-02-22;M2535415068381608;Dry
0;;Adzinski82;Unknown;807;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-02-22;M2533274802804598;Dry
0;;Imagine Sphax;Pro;23;Ferrari 296 GT3;32;5;40.815;60.900;36.645;02:18.516;138516;02:18.360;11:32.580;2025-02-22;M2533274876472342;Dry
0;;Adzinski82;Unknown;807;Ferrari 296 GT3;32;7;40.970;61.422;36.902;02:19.460;139460;02:19.294;16:16.220;2025-02-22;M2533274802804598;Dry
0;;ChrisP63#3590;Unknown;800;BMW M4 GT3 2022;26;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-02-22;M2533274799901907;Dry
0;;Adzinski82;Unknown;807;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-02-22;M2533274802804598;Dry
0;;Adzinski82;Unknown;807;Ferrari 296 GT3;32;4;41.320;61.470;36.585;02:19.375;139375;02:19.375;09:17.500;2025-02-22;M2533274802804598;Dry
0;;ChrisP63#3590;Unknown;800;BMW M4 GT3 2022;26;8;42.115;64.305;38.342;02:25.190;145190;02:24.762;19:21.520;2025-02-22;M2533274799901907;Wet
0;;ChrisP63#3590;Unknown;800;BMW M4 GT3 2022;26;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-02-22;M2533274799901907;Dry
0;;Mint Memes;Unknown;66;Mercedes AMG GT3 2020;25;2;41.277;61.340;36.660;02:19.277;139277;02:19.277;04:38.554;2025-02-22;M2535406528932198;Dry
0;;ToastyTexas9#841;Unknown;67;Mercedes AMG GT3 2020;25;4;41.262;62.295;37.020;02:20.702;140702;02:20.577;09:22.808;2025-02-22;M2535431063808166;Dry
0;;Mint Memes;Unknown;66;Bentley Continental GT3 2018;8;5;40.937;60.770;36.570;02:18.575;138575;02:18.277;11:32.875;2025-02-23;M2535406528932198;Dry
0;;SCRAPPER 2000;Pro;807;Ferrari 296 GT3;32;10;40.897;61.575;36.465;02:18.937;138937;02:18.937;23:09.370;2025-02-23;M2533274796566438;Dry
0;;MODERNDAYC0WB0Y;Unknown;2;Aston Martin Vantage V8 2019;20;30;41.077;61.420;36.407;02:19.342;139342;02:18.904;69:40.260;2025-02-23;M2535410913455645;Dry
0;;ToastyTexas9#841;Unknown;67;Bentley Continental GT3 2018;8;4;41.235;61.447;36.900;02:19.660;139660;02:19.582;09:18.640;2025-02-23;M2535431063808166;Dry
0;;GameChanger005;Unknown;58;Ferrari 296 GT3;32;12;40.735;60.285;36.330;02:17.430;137430;02:17.350;27:29.160;2025-02-23;M2535425231317196;Dry
0;;Dr Flexi Jerkov;Silver;747;McLaren 720S GT3 Evo;35;13;40.370;60.730;36.457;02:17.845;137845;02:17.557;29:51.985;2025-02-23;M2533274805889819;Dry
0;;ANT MCVITTIE;Pro;116;Aston Martin Vantage V8 2019;20;3;40.962;60.487;36.472;02:18.127;138127;02:17.921;06:54.381;2025-02-23;M2533274896948119;Dry
0;;Adzinski82;Unknown;807;Ferrari 296 GT3;32;9;40.817;61.090;36.592;02:18.580;138580;02:18.499;20:47.220;2025-02-23;M2533274802804598;Dry
0;;ping22587;Am/reserve;992;Porsche 992 GT3 R;34;5;40.773;61.335;36.477;02:18.699;138699;02:18.585;11:33.495;2025-02-23;M2535430534227760;Dry
0;;Imagine Sphax;Pro;23;Ferrari 296 GT3;32;1;41.085;61.017;36.858;02:18.960;138960;02:18.960;02:18.960;2025-02-23;M2533274876472342;Dry
0;;ToastyTexas9#841;Unknown;67;Bentley Continental GT3 2018;8;10;40.897;61.320;36.725;02:19.035;139035;02:18.942;23:10.350;2025-02-23;M2535431063808166;Dry
