Place;FirstName;LastName;Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId;Conditions
0;;Diamondminer036;Unknown;8;Mercedes AMG GT3 2020;25;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-04-24;M2535466870415321;Dry
0;;SirOfDark#9367;Am/reserve;206;McLaren 720S GT3 Evo;35;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-04-27;M2535471399818041;Dry
0;;BoA Diamond;Pro;4;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-04-28;M2533274963284096;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;3;41.301;43.290;32.814;01:57.405;117405;01:57.405;05:52.215;2025-04-28;M2533274963284096;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-04-28;M2533274963284096;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-04-28;M2533274963284096;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;4;41.388;43.050;32.727;01:57.165;117165;01:57.165;07:48.660;2025-04-28;M2533274963284096;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;2;41.556;43.254;32.781;01:57.627;117627;01:57.591;03:55.254;2025-04-28;M2533274963284096;Dry
0;;BoA Freaky;Unknown;41;Ginetta G55 GT4;56;3;41.137;42.497;32.070;01:55.775;115775;01:55.704;05:47.325;2025-04-28;M2535459396515943;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;4;40.977;42.966;32.565;01:56.625;116625;01:56.508;07:46.500;2025-04-28;M2533274963284096;Dry
0;;BoA Freaky;Unknown;41;Ginetta G55 GT4;56;5;41.205;42.755;32.237;01:56.507;116507;01:56.197;09:42.535;2025-04-28;M2535459396515943;Dry
0;;BoA Freaky;Unknown;41;Ginetta G55 GT4;56;11;41.087;42.415;32.170;01:55.860;115860;01:55.672;21:14.460;2025-04-28;M2535459396515943;Dry
0;;BoA Freaky;Unknown;41;Ginetta G55 GT4;56;1;40.917;42.525;32.670;01:56.112;116112;01:56.112;01:56.112;2025-04-28;M2535459396515943;Dry
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-04-29;M2533274805889819;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;6;40.989;42.414;32.376;01:55.833;115833;01:55.779;11:34.998;2025-04-29;M2533274963284096;Dry
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-04-29;M2535464171877570;Dry
0;;J0N G10;Pro;11;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-04-29;M2533274803882798;Dry
0;;BoAPrawnStar;Pro;103;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-04-29;M2535426324983035;Dry
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;16;40.490;41.480;31.727;01:54.017;114017;01:53.697;30:24.272;2025-04-29;M2533274805889819;Dry
0;;BoAPrawnStar;Pro;103;Ginetta G55 GT4;56;18;40.647;41.780;32.020;01:54.712;114712;01:54.447;34:24.816;2025-04-29;M2535426324983035;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;15;40.644;42.399;31.932;01:55.308;115308;01:54.975;28:49.620;2025-04-29;M2533274963284096;Dry
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;11;40.788;42.858;31.779;01:55.581;115581;01:55.425;21:11.391;2025-04-29;M2535464171877570;Dry
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;6;40.360;41.390;31.370;01:53.287;113287;01:53.120;11:19.722;2025-04-29;M2533274805889819;Dry
0;;BoAPrawnStar;Pro;103;Ginetta G55 GT4;56;3;40.532;41.682;31.687;01:53.902;113902;01:53.901;05:41.706;2025-04-29;M2535426324983035;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;3;40.731;41.997;31.881;01:54.609;114609;01:54.609;05:43.827;2025-04-29;M2533274963284096;Dry
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;6;40.728;42.312;31.923;01:55.287;115287;01:54.963;11:31.722;2025-04-29;M2535464171877570;Dry
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;3;40.632;41.462;31.670;01:53.765;113765;01:53.764;05:41.295;2025-04-29;M2533274805889819;Dry
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;4;41.310;42.456;32.040;01:55.806;115806;01:55.806;07:43.224;2025-04-29;M2535464171877570;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;4;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;143165:34.588;2025-04-29;M2533274963284096;Dry
0;;SuperGas747;Am/reserve;747;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-04-29;M2535463400577494;Dry
0;;BoAPrawnStar;Pro;103;Ginetta G55 GT4;56;5;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;178956:58.235;2025-04-29;M2535426324983035;Dry
0;;Imagine Sphax;Pro;23;Ginetta G55 GT4;56;10;40.758;41.670;31.671;01:54.192;114192;01:54.099;19:01.920;2025-04-29;M2533274876472342;Dry
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;10;40.602;42.324;32.049;01:55.065;115065;01:54.975;19:10.650;2025-04-29;M2535454029768367;Dry
0;;Deaddropc#9825;Unknown;355;Ginetta G55 GT4;56;16;40.850;42.397;32.087;01:55.645;115645;01:55.334;30:50.320;2025-04-29;M2535408498331170;Dry
0;;Thebadden#6350;Am/reserve;260;Ginetta G55 GT4;56;7;41.376;43.200;33.237;01:58.170;118170;01:57.813;13:47.190;2025-04-29;M2535468859834853;Dry
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;4;40.302;41.847;31.659;01:53.817;113817;01:53.808;07:35.268;2025-04-29;M2535454029768367;Dry
0;;Deaddropc#9825;Unknown;355;Ginetta G55 GT4;56;4;40.540;41.742;32.175;01:54.637;114637;01:54.457;07:38.548;2025-04-29;M2535408498331170;Dry
