Place;FirstName;LastName;Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId;Conditions
0;;bmatthew717;Unknown;43;Honda NSX Evo 2019;21;1;29.643;35.040;41.196;01:45.879;105879;01:45.879;01:45.879;2025-08-06;M2535456990131789;Dry
0;;dmoney69812;Am/reserve;777;Porsche 992 GT3 R;34;2;29.712;34.881;41.184;01:46.110;106110;01:45.777;03:32.220;2025-08-06;M2533274853814129;Dry
0;;Racingrich#2732;Am/reserve;89;Ferrari 296 GT3;32;3;55.272;43.056;17.124;01:55.452;115452;01:55.452;05:46.356;2025-09-07;M2535454029768367;Dry
0;;bmatthew717;Unknown;42;Ferrari 296 GT3;32;2;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;71582:47.294;2025-09-07;M2535456990131789;Dry
0;;BoAPrawnStar;Pro;100;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-09-07;M2535426324983035;Dry
0;;InocentPredator;Pro;720;McLaren 720S GT3 Evo;35;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-09-07;M2533274809212122;Dry
0;;T1GZ81Honda;Am/reserve;71;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-09-07;M2535421862963748;Dry
0;;BoA Diamond;Pro;92;Porsche 992 GT3 R;34;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-09-07;M2533274963284096;Dry
0;;bmatthew717;Unknown;42;Ferrari 296 GT3;32;2;55.293;43.002;16.932;01:55.227;115227;01:55.227;03:50.454;2025-09-07;M2535456990131789;Dry
0;;Racingrich#2732;Am/reserve;89;Ferrari 296 GT3;32;5;55.065;43.056;17.001;01:55.329;115329;01:55.122;09:36.645;2025-09-07;M2535454029768367;Dry
0;;BoAPrawnStar;Pro;100;Ferrari 296 GT3;32;3;55.250;43.275;16.985;01:55.625;115625;01:55.510;05:46.875;2025-09-07;M2535426324983035;Dry
0;;BoA KoolAid;Pro;20;Ford Mustang GT3;36;1;56.172;43.146;17.763;01:57.081;117081;01:57.081;01:57.081;2025-09-07;M2533274804593068;Dry
0;;InocentPredator;Pro;720;McLaren 720S GT3 Evo;35;4;56.655;44.477;18.032;01:59.217;119217;01:59.164;07:56.868;2025-09-07;M2533274809212122;Dry
0;;T1GZ81Honda;Am/reserve;71;Ferrari 296 GT3;32;2;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;71582:47.294;2025-09-07;M2535421862963748;Dry
0;;BoA Diamond;Pro;92;Porsche 992 GT3 R;34;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-09-07;M2533274963284096;Dry
0;;Thebadden#6350;Am/reserve;260;Ford Mustang GT3;36;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-09-07;M2535468859834853;Dry
0;;Racingrich#2732;Am/reserve;89;Ferrari 296 GT3;32;3;55.272;43.056;17.124;01:55.452;115452;01:55.452;05:46.356;2025-09-07;M2535454029768367;Dry
0;;bmatthew717;Unknown;42;Ferrari 296 GT3;32;2;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;71582:47.294;2025-09-07;M2535456990131789;Dry
0;;BoAPrawnStar;Pro;100;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-09-07;M2535426324983035;Dry
0;;InocentPredator;Pro;720;McLaren 720S GT3 Evo;35;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-09-07;M2533274809212122;Dry
0;;T1GZ81Honda;Am/reserve;71;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-09-07;M2535421862963748;Dry
0;;BoA Diamond;Pro;92;Porsche 992 GT3 R;34;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-09-07;M2533274963284096;Dry
0;;bmatthew717;Unknown;42;Ferrari 296 GT3;32;2;55.293;43.002;16.932;01:55.227;115227;01:55.227;03:50.454;2025-09-07;M2535456990131789;Dry
0;;Racingrich#2732;Am/reserve;89;Ferrari 296 GT3;32;5;55.065;43.056;17.001;01:55.329;115329;01:55.122;09:36.645;2025-09-07;M2535454029768367;Dry
0;;BoAPrawnStar;Pro;100;Ferrari 296 GT3;32;3;55.250;43.275;16.985;01:55.625;115625;01:55.510;05:46.875;2025-09-07;M2535426324983035;Dry
