Place;FirstName;LastName;Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId
0;;Tos F;Unknown;747;Ginetta G55 GT4;56;6;29.675;24.012;38.625;01:32.312;92312;01:32.312;09:13.872;2025-05-06;M2533274825104371
0;;draco#4301;Unknown;425;Ginetta G55 GT4;56;4;31.638;25.170;41.409;01:38.217;98217;01:38.217;06:32.868;2025-05-06;M2535417491686551
0;;Tos F;Unknown;747;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-06;M2533274825104371
0;;Tos F;Unknown;747;Ginetta G55 GT4;56;9;29.502;23.962;38.725;01:32.205;92205;01:32.189;13:49.845;2025-05-06;M2533274825104371
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;4;29.615;23.997;38.800;01:32.412;92412;01:32.412;06:09.648;2025-05-06;M2533274805889819
0;;T1GZ81Honda;Am/reserve;23;Ginetta G55 GT4;56;18;30.210;24.567;40.002;01:35.205;95205;01:34.779;28:33.690;2025-05-06;M2535421862963748
0;;draco#4301;Unknown;425;Ginetta G55 GT4;56;11;31.638;24.588;40.710;01:37.047;97047;01:36.936;17:47.517;2025-05-06;M2535417491686551
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;4;29.527;24.120;38.635;01:32.282;92282;01:32.282;06:09.128;2025-05-06;M2533274805889819
0;;T1GZ81Honda;Am/reserve;23;Ginetta G55 GT4;56;4;30.192;24.384;39.435;01:34.017;94017;01:34.011;06:16.068;2025-05-06;M2535421862963748
0;;Tos F;Unknown;747;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-06;M2533274825104371
0;;draco#4301;Unknown;425;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-06;M2535417491686551
0;;Deaddropc#9825;Unknown;355;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-07;M2535408498331170
0;;BoAPrawnStar;Pro;88;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-07;M2535426324983035
0;;BoAPrawnStar;Pro;88;Ginetta G55 GT4;56;20;29.917;24.355;39.122;01:33.457;93457;01:33.394;31:09.140;2025-05-07;M2535426324983035
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;14;30.372;24.192;39.114;01:33.972;93972;01:33.678;21:55.608;2025-05-07;M2533274963284096
0;;Deaddropc#9825;Unknown;355;Ginetta G55 GT4;56;15;30.067;24.500;39.750;01:34.665;94665;01:34.317;23:39.975;2025-05-07;M2535408498331170
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;7;30.132;24.150;38.910;01:33.261;93261;01:33.192;10:52.827;2025-05-07;M2533274963284096
0;;BoAPrawnStar;Pro;88;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-07;M2535426324983035
0;;Deaddropc#9825;Unknown;355;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-07;M2535408498331170
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;7;30.132;24.150;38.910;01:33.261;93261;01:33.192;10:52.827;2025-05-07;M2533274963284096
0;;BoAPrawnStar;Pro;88;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-07;M2535426324983035
0;;Deaddropc#9825;Unknown;355;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-07;M2535408498331170
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;24;29.487;23.932;38.642;01:32.245;92245;01:32.061;36:53.880;2025-05-07;M2533274805889819
0;;BadBen80;Pro;80;Ginetta G55 GT4;56;3;29.967;24.225;39.342;01:33.535;93535;01:33.534;04:40.605;2025-05-07;M2562092466593675
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;10;30.567;24.621;40.089;01:35.298;95298;01:35.277;15:52.980;2025-05-07;M2535464171877570
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;6;29.520;24.095;38.600;01:32.302;92302;01:32.215;09:13.812;2025-05-07;M2533274805889819
0;;BadBen80;Pro;80;Ginetta G55 GT4;56;7;29.917;23.975;38.960;01:33.110;93110;01:32.852;10:51.770;2025-05-07;M2562092466593675
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;7;30.555;24.819;39.759;01:35.136;95136;01:35.133;11:05.952;2025-05-07;M2535464171877570
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-07;M2535464171877570
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-07;M2533274805889819
0;;BadBen80;Pro;80;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-07;M2562092466593675
0;;EQR Apex;Unknown;53;McLaren 720S GT3 Evo;35;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-07;M2535440311354763
0;;EQR Apex;Unknown;53;Ginetta G55 GT4;56;13;29.421;23.919;38.367;01:31.749;91749;01:31.707;19:52.737;2025-05-07;M2535440311354763
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;18;29.527;23.977;38.562;01:32.090;92090;01:32.066;27:37.620;2025-05-07;M2533274805889819
0;;BadBen80;Pro;80;Ginetta G55 GT4;56;18;29.480;24.002;38.735;01:32.297;92297;01:32.217;27:41.346;2025-05-07;M2562092466593675
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;23;30.198;24.390;39.552;01:34.815;94815;01:34.140;36:20.745;2025-05-07;M2535464171877570
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-07;M2533274805889819
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-07;M2535464171877570
0;;BadBen80;Pro;80;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-07;M2562092466593675
0;;EQR Apex;Unknown;53;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-07;M2535440311354763
0;;BoAPrawnStar;Pro;88;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-07;M2535426324983035
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-07;M2533274963284096
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-07;M2535454029768367
