Place;FirstName;LastName;Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId
0;;AMS DR1VE;Am/reserve;33;Ginetta G55 GT4;56;21;36.750;41.237;37.797;01:55.917;115917;01:55.784;40:34.257;2025-05-14;M2535459005860319
0;;BadBen80;Pro;80;Ginetta G55 GT4;56;21;36.895;41.542;37.965;01:56.502;116502;01:56.402;40:46.542;2025-05-14;M2562092466593675
0;;EQR Apex;Unknown;53;Ginetta G55 GT4;56;21;36.921;41.244;37.971;01:56.277;116277;01:56.136;40:41.817;2025-05-14;M2535440311354763
0;;Tos F;Unknown;747;Ginetta G55 GT4;56;21;36.940;41.560;37.947;01:56.710;116710;01:56.447;40:50.910;2025-05-14;M2533274825104371
0;;Imagine Sphax;Pro;24;Ginetta G55 GT4;56;21;37.305;41.679;38.142;01:57.384;117384;01:57.126;41:05.064;2025-05-14;M2533274876472342
0;;dmoney69812;Am/reserve;15;Ginetta G55 GT4;56;21;37.020;41.607;38.499;01:57.663;117663;01:57.126;41:10.923;2025-05-14;M2533274853814129
0;;bmatthew717;Unknown;42;Ginetta G55 GT4;56;21;37.044;41.544;38.082;01:57.039;117039;01:56.670;40:57.819;2025-05-14;M2535456990131789
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;21;37.107;41.898;38.454;01:57.906;117906;01:57.459;41:16.026;2025-05-14;M2535454029768367
0;;T1GZ81Honda;Am/reserve;23;Ginetta G55 GT4;56;21;37.251;42.216;39.024;01:59.094;119094;01:58.491;41:40.974;2025-05-14;M2535421862963748
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;21;37.515;41.862;38.619;01:58.506;118506;01:57.996;41:28.626;2025-05-14;M2535464171877570
0;;J0N G10;Pro;10;Ginetta G55 GT4;56;21;37.314;41.943;38.373;01:57.780;117780;01:57.630;41:13.380;2025-05-14;M2533274803882798
0;;Thebadden#6350;Am/reserve;260;Ginetta G55 GT4;56;21;37.302;41.781;38.841;01:58.701;118701;01:57.924;41:32.721;2025-05-14;M2535468859834853
0;;draco#4301;Unknown;425;Ginetta G55 GT4;56;20;37.866;42.228;39.363;01:59.457;119457;01:59.457;39:49.140;2025-05-14;M2535417491686551
0;;BoAPrawnStar;Pro;88;Ginetta G55 GT4;56;11;37.247;41.720;38.572;01:57.982;117982;01:57.539;21:37.802;2025-05-14;M2535426324983035
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;7;36.982;41.495;37.975;01:56.630;116630;01:56.452;13:36.410;2025-05-14;M2533274805889819
