Place;FirstName;LastName;Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId
0;;Dr Flexi Jerkov;Silver;6;Lamborghini Huracan GT3 Evo 2;33;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-08-12;M2533274805889819
0;;BoAPrawnStar;Pro;100;Ferrari 296 GT3;32;13;41.200;61.470;36.940;02:19.617;139617;02:19.610;30:15.021;2025-09-07;M2535426324983035
0;;Thebadden#6350;Am/reserve;260;Ford Mustang GT3;36;13;41.031;61.536;37.386;02:19.953;139953;02:19.953;30:19.389;2025-09-07;M2535468859834853
0;;bmatthew717;Unknown;42;Ferrari 296 GT3;32;10;41.001;61.845;36.969;02:20.013;140013;02:19.815;23:20.130;2025-09-07;M2535456990131789
0;;BoA Diamond;Pro;92;Porsche 992 GT3 R;34;10;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;357913:56.470;2025-09-07;M2533274963284096
0;;T1GZ81Honda;Am/reserve;11;Audi R8 LMS Evo 2;31;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-09-07;M2535421862963748
0;;BoAPrawnStar;Pro;88;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-10-13;M2535426324983035
0;;Dr Flexi Jerkov;Silver;88;Alpine A110 GT4;50;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-10-14;M2533274805889819
0;;Dr Flexi Jerkov;Silver;24;KTM X-Bow GT4;57;2;32.865;45.460;39.740;01:58.435;118435;01:58.065;03:56.870;2025-10-14;M2533274805889819
0;;Dr Flexi Jerkov;Silver;88;Alpine A110 GT4;50;1;32.547;44.662;38.180;01:55.390;115390;01:55.389;01:55.390;2025-10-14;M2533274805889819
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;2;32.587;44.240;37.947;01:54.837;114837;01:54.774;03:49.674;2025-10-14;M2533274805889819
0;;Dr Flexi Jerkov;Silver;16;Ginetta G55 GT4;56;8;32.472;43.927;37.765;01:54.195;114195;01:54.164;15:13.560;2025-10-14;M2533274805889819
0;;Thebadden#6350;Am/reserve;261;Chevrolet Camaro GT4;55;9;32.379;44.445;37.578;01:54.429;114429;01:54.402;17:09.861;2025-10-14;M2535468859834853
0;;KingWise76;Silver;15;Ginetta G55 GT4;56;5;33.084;44.817;38.970;01:56.889;116889;01:56.871;09:44.445;2025-10-14;M2535464171877570
0;;Dr Flexi Jerkov;Silver;4;Mercedes AMG GT4;60;8;32.455;43.810;37.577;01:54.170;114170;01:53.842;15:13.360;2025-10-14;M2533274805889819
0;;Thebadden#6350;Am/reserve;260;Chevrolet Camaro GT4;55;11;32.346;44.346;37.866;01:54.645;114645;01:54.558;21:01.095;2025-10-14;M2535468859834853
