Place;FirstName;LastName;Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId;Conditions
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-27;M2535454029768367;Dry
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;7;26.385;41.088;37.356;01:45.276;105276;01:44.829;12:16.932;2025-05-27;M2535454029768367;Dry
0;;Y2004DTI;Am/reserve;550;Ginetta G55 GT4;56;7;26.047;41.020;36.970;01:44.037;104037;01:44.037;12:08.259;2025-05-27;M2535428245246604;Dry
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;5;26.466;41.478;37.473;01:45.534;105534;01:45.417;08:47.670;2025-05-28;M2535454029768367;Dry
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;3;26.313;41.232;37.119;01:44.664;104664;01:44.664;05:13.992;2025-05-28;M2535454029768367;Dry
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;11;25.902;40.602;36.852;01:43.356;103356;01:43.356;18:56.916;2025-05-28;M2535454029768367;Dry
0;;BoAPrawnStar;Pro;88;Ginetta G55 GT4;56;11;25.767;40.962;36.810;01:43.577;103577;01:43.539;18:59.347;2025-05-28;M2535426324983035;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;5;25.746;41.412;37.263;01:44.433;104433;01:44.421;08:42.165;2025-05-28;M2533274963284096;Dry
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-28;M2535454029768367;Dry
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-28;M2535454029768367;Dry
0;;BoAPrawnStar;Pro;88;Ginetta G55 GT4;56;5;25.515;40.695;36.620;01:42.990;102990;01:42.830;08:34.950;2025-05-28;M2535426324983035;Dry
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;11;25.728;40.893;36.711;01:43.398;103398;01:43.332;18:57.378;2025-05-28;M2535454029768367;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;15;25.746;40.872;36.849;01:43.692;103692;01:43.467;25:55.380;2025-05-28;M2533274963284096;Dry
0;;dmoney69812;Am/reserve;15;Ginetta G55 GT4;56;1;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;35791:23.647;2025-05-28;M2533274853814129;Dry
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-28;M2535464171877570;Dry
0;;AMS Martinez;Silver;113;McLaren 720S GT3 Evo;35;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-28;M2535439618096780;Dry
0;;ryanpatrickw;Unknown;16;Ginetta G55 GT4;56;6;25.497;40.595;36.305;01:42.702;102702;01:42.397;10:16.212;2025-05-28;M2535412775133805;Dry
0;;AMS Martinez;Silver;27;Ginetta G55 GT4;56;4;25.902;41.482;36.657;01:44.117;104117;01:44.041;06:56.468;2025-05-28;M2535439618096780;Dry
0;;dmoney69812;Am/reserve;15;Ginetta G55 GT4;56;4;25.974;41.874;37.218;01:45.681;105681;01:45.066;07:02.724;2025-05-28;M2533274853814129;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-28;M2533274963284096;Dry
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-28;M2535454029768367;Dry
0;;BoAPrawnStar;Pro;88;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-28;M2535426324983035;Dry
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-28;M2535464171877570;Dry
0;;AMS DR1VE;Am/reserve;33;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-28;M2535459005860319;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-28;M2533274963284096;Dry
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-28;M2535454029768367;Dry
0;;BoAPrawnStar;Pro;88;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-28;M2535426324983035;Dry
0;;dmoney69812;Am/reserve;15;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-28;M2533274853814129;Dry
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-28;M2535464171877570;Dry
0;;AMS Martinez;Silver;27;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-28;M2535439618096780;Dry
0;;ryanpatrickw;Unknown;16;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-28;M2535412775133805;Dry
0;;AMS DR1VE;Am/reserve;33;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-28;M2535459005860319;Dry
0;;Tos F;Unknown;747;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-28;M2533274825104371;Dry
0;;EQR Apex;Unknown;53;Ginetta G55 GT4;56;9;25.155;40.107;35.838;01:41.187;101187;01:41.100;15:10.683;2025-05-28;M2535440311354763;Dry
0;;AMS DR1VE;Am/reserve;33;Ginetta G55 GT4;56;21;25.105;40.295;35.840;01:41.475;101475;01:41.240;35:30.975;2025-05-28;M2535459005860319;Dry
0;;AMS Martinez;Silver;27;Ginetta G55 GT4;56;10;25.457;40.395;36.127;01:42.080;102080;01:41.979;17:00.800;2025-05-28;M2535439618096780;Dry
0;;ryanpatrickw;Unknown;15;Ginetta G55 GT4;56;16;25.520;40.375;36.052;01:42.115;102115;01:41.947;27:13.840;2025-05-28;M2535412775133805;Dry
0;;Imagine Sphax;Pro;23;Ginetta G55 GT4;56;7;25.437;40.662;36.030;01:42.198;102198;01:42.129;11:55.386;2025-05-28;M2533274876472342;Dry
0;;BadBen80;Pro;80;Ginetta G55 GT4;56;10;25.580;40.537;36.215;01:42.435;102435;01:42.332;17:04.350;2025-05-28;M2562092466593675;Dry
0;;UGC Luke;Unknown;69;Ginetta G55 GT4;56;16;25.410;40.611;36.402;01:42.582;102582;01:42.423;27:21.312;2025-05-28;M2535460166046909;Dry
0;;Tos F;Unknown;747;Ginetta G55 GT4;56;13;25.652;40.515;36.150;01:42.670;102670;01:42.317;22:14.710;2025-05-28;M2533274825104371;Dry
0;;Y2004DTI;Am/reserve;550;Ginetta G55 GT4;56;8;25.685;40.645;36.350;01:42.680;102680;01:42.680;13:41.440;2025-05-28;M2535428245246604;Dry
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;19;25.830;40.578;36.450;01:42.960;102960;01:42.858;32:36.240;2025-05-28;M2535454029768367;Dry
0;;TAAT GUNA;Unknown;201;Ginetta G55 GT4;56;8;25.745;40.680;36.722;01:43.147;103147;01:43.147;13:45.176;2025-05-28;M2533274817407265;Dry
0;;dmoney69812;Am/reserve;777;Ginetta G55 GT4;56;15;25.527;40.911;36.489;01:43.209;103209;01:42.927;25:48.135;2025-05-28;M2533274853814129;Dry
0;;BoAPrawnStar;Pro;88;Ginetta G55 GT4;56;3;25.625;41.077;36.507;01:43.257;103257;01:43.209;05:09.771;2025-05-28;M2535426324983035;Dry
0;;bmatthew717;Unknown;42;Ginetta G55 GT4;56;11;25.710;40.905;36.693;01:43.371;103371;01:43.308;18:57.081;2025-05-28;M2535456990131789;Dry
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;12;25.593;41.040;36.753;01:43.593;103593;01:43.386;20:43.116;2025-05-28;M2533274963284096;Dry
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;14;26.070;41.013;36.789;01:44.127;104127;01:43.872;24:17.778;2025-05-28;M2535464171877570;Dry
0;;EQR Apex;Unknown;53;Ginetta G55 GT4;56;7;25.140;40.314;35.997;01:41.451;101451;01:41.451;11:50.157;2025-05-28;M2535440311354763;Dry
0;;AMS DR1VE;Am/reserve;33;Ginetta G55 GT4;56;5;25.125;40.242;36.175;01:41.597;101597;01:41.542;08:27.985;2025-05-28;M2535459005860319;Dry
