Place;FirstName;LastName;Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId
0;;AMS DR1VE;Am/reserve;33;Ginetta G55 GT4;56;24;25.365;48.665;27.707;01:41.882;101882;01:41.737;40:45.168;2025-05-21;M2535459005860319
0;;UGC Luke;Unknown;69;Ginetta G55 GT4;56;24;25.167;48.696;27.759;01:41.859;101859;01:41.622;40:44.616;2025-05-21;M2535460166046909
0;;Imagine Sphax;Pro;23;Ginetta G55 GT4;56;24;25.338;48.987;28.026;01:42.492;102492;01:42.351;40:59.808;2025-05-21;M2533274876472342
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;24;25.458;49.203;27.978;01:43.074;103074;01:42.639;41:13.776;2025-05-21;M2535454029768367
0;;BadBen80;Pro;80;Ginetta G55 GT4;56;24;25.370;48.790;27.810;01:42.362;102362;01:41.970;40:56.688;2025-05-21;M2562092466593675
0;;EQR Apex;Unknown;53;Ginetta G55 GT4;56;24;25.350;48.759;27.936;01:42.045;102045;01:42.045;40:49.080;2025-05-21;M2535440311354763
0;;BoAPrawnStar;Pro;88;Ginetta G55 GT4;56;24;25.475;49.385;28.135;01:43.297;103297;01:42.995;41:19.128;2025-05-21;M2535426324983035
0;;Tos F;Unknown;747;Ginetta G55 GT4;56;24;25.275;49.232;27.930;01:42.640;102640;01:42.437;41:03.360;2025-05-21;M2533274825104371
0;;Thebadden#6350;Am/reserve;260;Ginetta G55 GT4;56;24;25.485;49.572;28.026;01:43.527;103527;01:43.083;41:24.648;2025-05-21;M2535468859834853
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;23;25.683;50.229;28.368;01:44.553;104553;01:44.280;40:04.719;2025-05-21;M2535464171877570
0;;T1GZ81Honda;Am/reserve;24;Ginetta G55 GT4;56;21;25.986;50.793;28.536;01:45.726;105726;01:45.315;37:00.246;2025-05-21;M2535421862963748
0;;CHEWBACCA 3110;Silver;15;Ginetta G55 GT4;56;15;25.302;49.270;28.102;01:42.965;102965;01:42.674;25:44.475;2025-05-21;M2533274934545075
0;;bmatthew717;Unknown;42;Ginetta G55 GT4;56;10;25.482;49.230;28.194;01:43.404;103404;01:42.906;17:14.040;2025-05-21;M2535456990131789
0;;TAAT GUNA;Unknown;201;Ginetta G55 GT4;56;5;25.372;49.167;28.022;01:42.562;102562;01:42.561;08:32.810;2025-05-21;M2533274817407265
0;;TTVRIPIndigo;Am/reserve;17;Ginetta G55 GT4;56;1;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;35791:23.647;2025-05-21;P8342114600090339060
0;;HarryPalmerr;Unknown;16;Ginetta G55 GT4;56;1;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;35791:23.647;2025-05-21;P560856601992808603
0;;CT08 #4634;Am/reserve;8;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-21;M2535422371678774
