Place;FirstName;LastName;Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId
0;;BadBen80;Pro;80;Ginetta G55 GT4;56;12;36.460;37.542;25.752;01:39.982;99982;01:39.754;19:59.784;2025-06-18;M2562092466593675
0;;DR1VE#4787;Am/reserve;33;Ginetta G55 GT4;56;12;36.260;37.642;25.952;01:40.190;100190;01:39.854;20:02.280;2025-06-18;M2535459005860319
0;;EQR Apex;Unknown;53;Ginetta G55 GT4;56;12;36.192;37.716;25.791;01:39.840;99840;01:39.699;19:58.080;2025-06-18;M2535440311354763
0;;Imagine Sphax;Pro;23;Ginetta G55 GT4;56;12;36.573;37.989;25.962;01:40.539;100539;01:40.524;20:06.468;2025-06-18;M2533274876472342
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;12;36.705;38.088;26.097;01:41.016;101016;01:40.890;20:12.192;2025-06-18;M2535454029768367
0;;TAAT GUNA;Unknown;201;Ginetta G55 GT4;56;12;36.580;37.907;25.812;01:40.630;100630;01:40.299;20:07.560;2025-06-18;M2533274817407265
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;12;37.401;38.475;26.172;01:42.309;102309;01:42.048;20:27.708;2025-06-18;M2533274963284096
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;12;36.951;38.310;26.145;01:41.727;101727;01:41.406;20:20.724;2025-06-18;M2535464171877570
0;;NeonBulleTz;Am/reserve;1;Ginetta G55 GT4;56;12;37.687;38.670;26.157;01:42.775;102775;01:42.514;20:33.300;2025-06-18;P6555717445734582767
0;;bmatthew717;Unknown;42;Ginetta G55 GT4;56;12;36.645;38.196;25.953;01:40.794;100794;01:40.794;20:09.528;2025-06-18;M2535456990131789
0;;Thebadden#6350;Am/reserve;260;Ginetta G55 GT4;56;12;37.350;38.487;26.520;01:42.474;102474;01:42.357;20:29.688;2025-06-18;M2535468859834853
0;;T1GZ81Honda;Am/reserve;24;Ginetta G55 GT4;56;12;37.545;38.538;26.451;01:42.933;102933;01:42.534;20:35.196;2025-06-18;M2535421862963748
0;;LCS Ginge;Am/reserve;87;Ginetta G55 GT4;56;12;37.020;38.703;26.526;01:42.249;102249;01:42.249;20:26.988;2025-06-18;M2535428335198107
0;;MattChow69;Am/reserve;15;Ginetta G55 GT4;56;8;37.710;38.709;27.234;01:44.094;104094;01:43.653;13:52.752;2025-06-18;M2535457981610431
0;;J0N G10;Pro;10;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-06-18;M2533274803882798
0;;jesperb01;Am/reserve;16;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-06-18;M2535465743812802
