Place;FirstName;LastName;Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId
0;;Szpak#5797;Silver;14;Porsche 992 GT3 R;34;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2024-06-18;M2535450086590569
0;;BadBen80;Pro;7;McLaren 720S GT3 Evo;35;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2024-07-07;M2562092466593675
0;;BoAPrawnStar;Pro;88;Mercedes AMG GT3 2020;25;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-04-14;M2535426324983035
0;;Diamondminer036;Unknown;40;Mercedes AMG GT3 2020;25;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-04-14;M2535466870415321
0;;CT08 #4634;Am/reserve;100;Mercedes AMG GT3 2020;25;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-04-14;M2535422371678774
0;;KingWise76;Silver;144;McLaren 720S GT3 Evo;35;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-04-14;M2535464171877570
0;;CAVC_Charles;Unknown;43;Mercedes AMG GT3 2020;25;1;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;35791:23.647;2025-04-15;P8013489951655553364
0;;CT08 #4634;Am/reserve;100;Mercedes AMG GT3 2020;25;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-04-19;M2535422371678774
0;;CT08 #4634;Am/reserve;100;Mercedes AMG GT3 2020;25;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-04-20;M2535422371678774
0;;CT08 #4634;Am/reserve;100;Mercedes AMG GT3 2020;25;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-04-20;M2535422371678774
0;;CT08 #4634;Am/reserve;100;Mercedes AMG GT3 2020;25;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-04-23;M2535422371678774
0;;CT08 #4634;Am/reserve;100;Mercedes AMG GT3 2020;25;1;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;35791:23.647;2025-04-23;M2535422371678774
0;;Diamondminer036;Unknown;8;Mercedes AMG GT3 2020;25;1;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;35791:23.647;2025-04-23;M2535466870415321
0;;KingWise76;Silver;144;Aston Martin Vantage V8 2019;20;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-04-23;M2535464171877570
0;;sebgoho;Am/reserve;9;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-04-23;M2535432030469566
0;;BoAPrawnStar;Pro;103;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-04-30;M2535426324983035
0;;CT08 #4634;Am/reserve;100;Audi R8 LMS Evo 2;31;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-04-30;M2535422371678774
0;;Diamondminer036;Unknown;1;Audi R8 LMS Evo 2;31;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-04-30;M2535466870415321
0;;CHEWBACCA 3110;Silver;92;Porsche 992 GT3 R;34;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-02;M2533274934545075
0;;Diamondminer036;Unknown;888;Audi R8 LMS Evo 2;31;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-03;M2535466870415321
0;;Diamondminer036;Unknown;888;Audi R8 LMS Evo 2;31;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-04;M2535466870415321
0;;ogsl;Unknown;720;McLaren 720S GT3 Evo;35;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-04;M2533274798740952
0;;Thebadden#6350;Am/reserve;260;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-05-04;M2535468859834853
