Place;FirstName;LastName;Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId
0;;ping22587;Am/reserve;15;Ginetta G55 GT4;56;3;33.402;31.551;32.682;01:37.635;97635;01:37.635;04:52.905;2025-06-10;M2535430534227760
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;6;33.501;32.217;32.562;01:38.502;98502;01:38.280;09:51.012;2025-06-10;M2535454029768367
0;;Imagine Sphax;Pro;23;Ginetta G55 GT4;56;21;33.255;31.359;32.358;01:37.194;97194;01:36.972;34:01.074;2025-06-10;M2533274876472342
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;19;33.399;31.782;32.337;01:37.518;97518;01:37.518;30:52.842;2025-06-10;M2535454029768367
0;;Thebadden#6350;Am/reserve;260;Ginetta G55 GT4;56;10;33.738;32.052;32.580;01:38.706;98706;01:38.370;16:27.060;2025-06-10;M2535468859834853
0;;Imagine Sphax;Pro;23;Ginetta G55 GT4;56;4;33.162;31.371;32.271;01:36.804;96804;01:36.804;06:27.216;2025-06-10;M2533274876472342
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;4;33.153;31.644;32.232;01:37.068;97068;01:37.029;06:28.272;2025-06-10;M2535454029768367
0;;Thebadden#6350;Am/reserve;260;Ginetta G55 GT4;56;4;33.849;31.830;32.547;01:38.286;98286;01:38.226;06:33.144;2025-06-10;M2535468859834853
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-06-10;M2535464171877570
0;;Imagine Sphax;Pro;23;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-06-10;M2533274876472342
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-06-10;M2535454029768367
0;;Thebadden#6350;Am/reserve;260;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-06-10;M2535468859834853
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-06-10;M2535464171877570
0;;KingWise76;Silver;144;Ginetta G55 GT4;56;4;34.140;34.386;33.759;01:42.285;102285;01:42.285;06:49.140;2025-06-10;M2535464171877570
0;;BoA Diamond;Pro;4;Ferrari 296 GT3;32;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-06-11;M2533274963284096
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;15;33.861;31.896;32.448;01:38.730;98730;01:38.205;24:40.950;2025-06-11;M2533274963284096
0;;LCS Ginge;Am/reserve;87;Ginetta G55 GT4;56;9;33.906;32.754;32.814;01:39.600;99600;01:39.474;14:56.400;2025-06-11;M2535428335198107
0;;LCS Ginge;Am/reserve;87;Ginetta G55 GT4;56;8;34.209;32.508;33.051;01:39.840;99840;01:39.768;13:18.720;2025-06-11;M2535428335198107
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;14;33.567;31.575;32.394;01:37.761;97761;01:37.536;22:48.654;2025-06-11;M2533274963284096
0;;BoAPrawnStar;Pro;88;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-06-11;M2535426324983035
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;8;33.561;31.893;32.277;01:38.079;98079;01:37.731;13:04.632;2025-06-11;M2533274963284096
0;;BoAPrawnStar;Pro;88;Ginetta G55 GT4;56;14;33.602;31.832;32.725;01:38.375;98375;01:38.159;22:57.250;2025-06-11;M2535426324983035
0;;Thebadden#6350;Am/reserve;260;Ginetta G55 GT4;56;8;33.852;32.334;32.598;01:39.192;99192;01:38.784;13:13.536;2025-06-11;M2535468859834853
0;;BoAPrawnStar;Pro;88;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-06-11;M2535426324983035
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-06-11;M2533274963284096
0;;Thebadden#6350;Am/reserve;260;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-06-11;M2535468859834853
0;;Tos F;Unknown;747;Ginetta G55 GT4;56;0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647;107374:10.941;;2025-06-11;M2533274825104371
0;;DR1VE#4787;Am/reserve;33;Ginetta G55 GT4;56;17;33.077;30.905;31.975;01:36.402;96402;01:35.957;27:18.834;2025-06-11;M2535459005860319
0;;Tos F;Unknown;747;Ginetta G55 GT4;56;10;33.297;31.587;32.197;01:37.272;97272;01:37.081;16:12.720;2025-06-11;M2533274825104371
0;;Imagine Sphax;Pro;23;Ginetta G55 GT4;56;14;33.213;31.557;32.430;01:37.302;97302;01:37.200;22:42.228;2025-06-11;M2533274876472342
0;;BadBen80;Pro;80;Ginetta G55 GT4;56;6;33.735;31.632;32.365;01:37.772;97772;01:37.732;09:46.632;2025-06-11;M2562092466593675
0;;Racingrich#2732;Am/reserve;89;Ginetta G55 GT4;56;8;33.648;31.821;32.403;01:37.923;97923;01:37.872;13:03.384;2025-06-11;M2535454029768367
0;;BoA Diamond;Pro;4;Ginetta G55 GT4;56;3;33.606;32.187;32.328;01:38.121;98121;01:38.121;04:54.363;2025-06-11;M2533274963284096
0;;Thebadden#6350;Am/reserve;260;Ginetta G55 GT4;56;15;33.537;32.034;32.589;01:38.532;98532;01:38.160;24:37.980;2025-06-11;M2535468859834853
0;;TAAT GUNA;Unknown;201;Ginetta G55 GT4;56;2;33.550;32.352;32.890;01:39.060;99060;01:38.792;03:18.120;2025-06-11;M2533274817407265
